,funding_total_usd,status,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,Advertising,Analytics,Apps,Biotechnology,Clean Technology,Cloud Computing,Curated Web,E-Commerce,Education,Enterprise Software,Finance,Games,Hardware + Software,Health Care,Health and Wellness,Internet,Manufacturing,Mobile,Other,SaaS,Search,Security,Semiconductors,Social Media,Software,Technology,Video,Web Hosting,CAN,CHN,DEU,ESP,FRA,GBR,IND,IRL,ISR,NLD,RUS,SGP,SWE,USA,other,market Analytics ,market Biotechnology ,market Clean Technology ,market Consulting ,market Curated Web ,market E-Commerce ,market Education ,market Enterprise Software ,market Fashion ,market Finance ,market Games ,market Hardware + Software ,market Health Care ,market Health and Wellness ,market Hospitality ,market Internet ,market Manufacturing ,market Messaging ,market Mobile ,market News ,market Real Estate ,market SaaS ,market Search ,market Security ,market Semiconductors ,market Social Media ,market Software ,market Technology ,market Travel ,market Web Hosting ,marketother,founded_at_1994,founded_at_1995,founded_at_1996,founded_at_1997,founded_at_1998,founded_at_1999,founded_at_2000,founded_at_2001,founded_at_2002,founded_at_2003,founded_at_2004,founded_at_2005,founded_at_2006,founded_at_2007,founded_at_2008,founded_at_2009,founded_at_2010,founded_at_2011,founded_at_2012,founded_at_2013,founded_at_2014
0,1750000.0,1,1,1.7781784363386055,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
18,500000.0,1,1,0.30416953878911435,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
20,2535000.0,1,2,-0.26774591346008825,-0.36665497416911585,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,0.047111572816715255,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,1250000.0,1,2,0.5989713182990126,-0.4393614767797259,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
131,118000.0,0,1,-0.14628758030201014,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
151,85000000.0,1,1,-0.28543402023068215,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,3.6458076501948216,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
198,500000.0,0,2,0.009367759279216122,-0.4573581358417581,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,0.2025809450604022,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
205,503000.0,0,2,-0.28543402023068215,-0.43925349682535375,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,-0.3229021916244846,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
233,13708150.0,0,3,-0.28543402023068215,0.03604366800063516,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,-0.29752247283577926,0.3331710101205409,-0.27382504797179663,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
236,65000000.0,1,3,-0.28543402023068215,1.8822075422224271,-0.027330616887730176,-0.058510522537402306,-0.05113111378409367,-0.07465611265393898,-0.1504958495431736,-0.029784295564399748,-0.09184625320733374,-0.017156126709370632,-0.031527378061348185,-0.015980691997027535,-0.022467642320677456,1.0700733523573653,1.6957847926084835,3.8933361711349566,-0.1506525739456096,-0.09643799077876243,-0.0425181394858079,-0.025305426299841664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
